"tiempo_residencia","max_personas","lugar_habitado","tipo_desague","material_piso","material_techo","material_paredes","problemas_plagas","plagas_cucarachas","plagas_roedores","plagas_otros","num_dormitorios","max_personas"
10,4,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,4
16,4,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,8
21,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,3
16,2,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,3,5
8,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,4
0,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
30,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,5
35,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,4
16,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
4,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Planchón (describir qué es)","Sí",NA,"Mosquitos",NA,1,2
3,4,"Ocupado/Tomado","A pozo negro/ciego","Carpeta de cemento","Caña/adobe","Adobe","Sí","Cucarachas",NA,"Ratas",2,6
0,3,"Ocupado/Tomado","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
20,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos",NA,3,5
30,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,4
10,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,1,2
23,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
30,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,4
6,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,2
7,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,3,5
10,4,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,4
10,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,5
7,4,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,4
5,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
6,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
22,1,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
10,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
20,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
3,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,5
2,1,"Propio sin títulos","No sabe","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,1
27,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,7
26,3,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,6
12,7,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,10
15,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
6,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,3
28,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,6
2,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
10,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,5
2,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,3
24,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,3
3,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,3
2,4,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Chapa","Sí",NA,"Mosquitos",NA,2,7
10,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
36,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,3
5,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
3,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
7,2,"Propio sin títulos","A pozo negro/ciego","Madera","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",1,2
3,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
7,1,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,4
23,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,4
5,4,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,4
7,2,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,4
10,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,5
4,3,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,3
12,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
5,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,3
10,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
10,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Madera","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos",NA,3,3
10,5,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,4,5
7,2,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,2
5,5,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,8
8,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,3
3,3,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,3
8,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,4
4,2,"Propio sin títulos","A cámara séptica","Cerámico","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,5
4,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,2
2,5,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Caña/adobe","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,5
8,5,"Ocupado/Tomado","Desagüe a red cloacal informal/vecinal","Madera","Chapa","Chapa","Sí","Cucarachas","Mosquitos","Ratas",2,7
8,2,"Ocupado/Tomado","A pozo negro/ciego","Madera","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",1,2
0,2,"Ocupado/Tomado","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Planchón (describir qué es)","Sí","Cucarachas","Mosquitos","Ratas",2,3
10,2,"Propio con algún comprobante de tenencia","A cámara séptica","Madera","Chapa","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,2
10,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Planchón (describir qué es)","No",NA,NA,NA,2,5
1,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Caña/adobe","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",2,3
3,4,"Alquilado","A pozo negro/ciego","Carpeta de cemento","Chapa","Planchón (describir qué es)","Sí","Cucarachas","Mosquitos",NA,2,7
11,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas",NA,NA,2,6
3,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Caña/adobe","Adobe","Sí",NA,"Mosquitos",NA,1,2
10,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas",NA,"Ratas",2,3
10,4,"Ocupado/Tomado","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","No",NA,NA,NA,2,5
18,1,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,3
25,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,4
20,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
10,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",2,5
10,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,1,3
14,1,"Propio con algún comprobante de tenencia","No sabe","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,1,1
12,4,"Ocupado/Tomado","No sabe","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,4
13,5,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,5
13,4,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,4
1,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
12,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,3
16,5,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,5
15,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",1,3
10,3,"Alquilado","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,2,5
4,3,"Prestado","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
11,1,"Propio sin títulos","No sabe","Sin piso/tierra","Lona","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,1
15,1,"Propio sin títulos","No sabe","Sin piso/tierra","Lona","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",1,1
12,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",2,4
4,2,"Alquilado","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,2
15,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,NA,2,3
12,5,"Propio sin títulos","No sabe","Sin piso/tierra","Chapa","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,5
12,6,"Propio sin títulos","A pozo negro/ciego","Sin piso/tierra","Lona","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",1,6
15,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,2
12,4,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,4
2,4,"Alquilado","Desagüe a red cloacal pública","Cerámico","Chapa","Trama en madera/tapial de madera","Sí","Cucarachas",NA,NA,2,6
10,6,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Planchón (describir qué es)","Sí","Cucarachas","Mosquitos","Ratas",1,6
21,3,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,5
16,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
15,6,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,8
22,2,"Propio con algún comprobante de tenencia","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,2
17,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,6
6,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",3,4
35,5,"Propio sin títulos","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,6
1,2,"Alquilado","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
17,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,2
20,2,"Propio con algún comprobante de tenencia","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,2
0,5,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,7
17,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",3,4
17,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,4,7
20,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,3
19,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
2,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
26,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",2,2
15,2,"Propio sin títulos","A pozo negro/ciego","Cerámico","Chapa","Trama en madera/tapial de madera","Sí",NA,NA,"Ratas",3,4
36,3,"Alquilado","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,3
10,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,3
15,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
4,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,5
4,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Lona","Trama en madera/tapial de madera","Sí","Cucarachas","Mosquitos","Ratas",1,3
12,4,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",1,4
12,1,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,1
6,1,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Trama en madera/tapial de madera","Sí",NA,"Mosquitos","Ratas",1,1
2,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
11,2,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,4
15,2,"Propio sin títulos","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,2
3,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Chapa","Sí","Cucarachas","Mosquitos","Ratas",3,4
3,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Chapa","Sí","Cucarachas",NA,"Ratas",3,4
13,3,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",2,5
3,1,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block",NA,NA,NA,NA,1,1
13,3,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,3
15,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,3
11,2,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,1,2
11,3,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,5
2,3,"Ocupado/Tomado","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,6
0,3,"Propio sin títulos","A cámara séptica","Sin piso/tierra","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",1,3
37,2,"Propio con algún comprobante de tenencia","A cámara séptica","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,4,5
30,1,"Propio sin títulos","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
2,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Sin piso/tierra","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
2,5,"Propio sin títulos","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,5
1,1,"Propio con algún comprobante de tenencia","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,1,1
22,3,"Prestado","Desagüe a red cloacal pública","Sin piso/tierra","Chapa","Chapa","Sí","Cucarachas","Mosquitos","Ratas",1,3
27,1,"Alquilado","A cámara séptica","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,1
3,2,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,1,4
